scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
202,Vande Bharat Express (12478),High_Speed,430t,130 km/h,Bhopal Shatabdi (12708),Express,550t,110 km/h,Kanpur Central,Low
203,EMU Local (12340),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11777),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
204,EMU Local (12281),Commuter,300t,80 km/h,Vande Bharat Express (11054),High_Speed,430t,130 km/h,Vijayawada Line,High
205,Vande Bharat Express (11567),High_Speed,430t,130 km/h,Rajdhani Express (11751),Express,600t,120 km/h,Itarsi Junction,High
206,Vande Bharat Express (12467),High_Speed,430t,130 km/h,BOXN Coal Rake (12959),Freight,4500t,60 km/h,Itarsi Junction,High
207,Vande Bharat Express (12378),High_Speed,430t,130 km/h,BOXN Coal Rake (12332),Freight,4500t,60 km/h,Kanpur Central,High
208,Vande Bharat Express (11622),High_Speed,430t,130 km/h,BOXN Coal Rake (11765),Freight,4500t,60 km/h,Vijayawada Line,High
209,BOXN Coal Rake (12137),Freight,4500t,60 km/h,Vande Bharat Express (12568),High_Speed,430t,130 km/h,Itarsi Junction,Low
210,Bhopal Shatabdi (11146),Express,550t,110 km/h,Vande Bharat Express (12958),High_Speed,430t,130 km/h,Itarsi Junction,Low
211,Rajdhani Express (11487),Express,600t,120 km/h,Bhopal Shatabdi (11023),Express,550t,110 km/h,Itarsi Junction,Medium
212,BOXN Coal Rake (12326),Freight,4500t,60 km/h,Rajdhani Express (12949),Express,600t,120 km/h,Kanpur Central,Low
213,WAG-12 Heavy Freight (12704),Heavy Freight,6000t,75 km/h,Rajdhani Express (12427),Express,600t,120 km/h,Kanpur Central,Medium
214,BOXN Coal Rake (11067),Freight,4500t,60 km/h,Rajdhani Express (11997),Express,600t,120 km/h,Kanpur Central,Low
215,Bhopal Shatabdi (12522),Express,550t,110 km/h,BOXN Coal Rake (12239),Freight,4500t,60 km/h,Vijayawada Line,High
216,Bhopal Shatabdi (11904),Express,550t,110 km/h,EMU Local (12832),Commuter,300t,80 km/h,Vijayawada Line,High
217,BOXN Coal Rake (12680),Freight,4500t,60 km/h,Bhopal Shatabdi (11770),Express,550t,110 km/h,Itarsi Junction,High
218,BOXN Coal Rake (11751),Freight,4500t,60 km/h,Vande Bharat Express (11896),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
219,EMU Local (12825),Commuter,300t,80 km/h,Rajdhani Express (11373),Express,600t,120 km/h,Bhusawal Block,Low
220,EMU Local (11872),Commuter,300t,80 km/h,Vande Bharat Express (11113),High_Speed,430t,130 km/h,Nagpur Crossing,High
221,WAG-12 Heavy Freight (12229),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11002),Freight,4500t,60 km/h,Bhusawal Block,Low
222,BOXN Coal Rake (11286),Freight,4500t,60 km/h,EMU Local (12276),Commuter,300t,80 km/h,Itarsi Junction,Low
223,BOXN Coal Rake (12457),Freight,4500t,60 km/h,Rajdhani Express (12491),Express,600t,120 km/h,Kanpur Central,Low
224,WAG-12 Heavy Freight (11519),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12106),Freight,4500t,60 km/h,Vijayawada Line,High
225,EMU Local (11237),Commuter,300t,80 km/h,Bhopal Shatabdi (12621),Express,550t,110 km/h,Bhusawal Block,Medium
226,WAG-12 Heavy Freight (11239),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11397),High_Speed,430t,130 km/h,Nagpur Crossing,High
227,EMU Local (12584),Commuter,300t,80 km/h,Bhopal Shatabdi (12895),Express,550t,110 km/h,Itarsi Junction,Low
228,BOXN Coal Rake (12251),Freight,4500t,60 km/h,Bhopal Shatabdi (11679),Express,550t,110 km/h,Nagpur Crossing,Medium
229,EMU Local (11889),Commuter,300t,80 km/h,BOXN Coal Rake (11080),Freight,4500t,60 km/h,Bhusawal Block,Medium
230,Bhopal Shatabdi (12752),Express,550t,110 km/h,EMU Local (11476),Commuter,300t,80 km/h,Vijayawada Line,Low
231,BOXN Coal Rake (12409),Freight,4500t,60 km/h,Vande Bharat Express (12371),High_Speed,430t,130 km/h,Bhusawal Block,Low
232,EMU Local (11957),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11548),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
233,Vande Bharat Express (11962),High_Speed,430t,130 km/h,Bhopal Shatabdi (11434),Express,550t,110 km/h,Kanpur Central,High
234,WAG-12 Heavy Freight (12573),Heavy Freight,6000t,75 km/h,EMU Local (11926),Commuter,300t,80 km/h,Kanpur Central,Medium
235,WAG-12 Heavy Freight (11607),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11560),Express,550t,110 km/h,Vijayawada Line,Medium
236,Vande Bharat Express (12143),High_Speed,430t,130 km/h,Rajdhani Express (11839),Express,600t,120 km/h,Vijayawada Line,High
237,WAG-12 Heavy Freight (11821),Heavy Freight,6000t,75 km/h,EMU Local (11434),Commuter,300t,80 km/h,Bhusawal Block,High
238,EMU Local (11912),Commuter,300t,80 km/h,BOXN Coal Rake (12189),Freight,4500t,60 km/h,Kanpur Central,High
239,Rajdhani Express (12590),Express,600t,120 km/h,Bhopal Shatabdi (11314),Express,550t,110 km/h,Nagpur Crossing,High
240,Vande Bharat Express (11159),High_Speed,430t,130 km/h,BOXN Coal Rake (11545),Freight,4500t,60 km/h,Kanpur Central,Medium
241,Bhopal Shatabdi (12035),Express,550t,110 km/h,Rajdhani Express (12197),Express,600t,120 km/h,Itarsi Junction,Medium
242,Rajdhani Express (11776),Express,600t,120 km/h,EMU Local (11063),Commuter,300t,80 km/h,Itarsi Junction,High
243,Vande Bharat Express (12963),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11993),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
244,WAG-12 Heavy Freight (11165),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12679),Freight,4500t,60 km/h,Itarsi Junction,Medium
245,BOXN Coal Rake (11359),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11320),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
246,Bhopal Shatabdi (12611),Express,550t,110 km/h,EMU Local (12702),Commuter,300t,80 km/h,Kanpur Central,High
247,WAG-12 Heavy Freight (12026),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11289),Freight,4500t,60 km/h,Bhusawal Block,Medium
248,WAG-12 Heavy Freight (11020),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12071),Express,550t,110 km/h,Kanpur Central,High
249,BOXN Coal Rake (12405),Freight,4500t,60 km/h,Vande Bharat Express (11142),High_Speed,430t,130 km/h,Vijayawada Line,Medium
250,EMU Local (11421),Commuter,300t,80 km/h,Rajdhani Express (12463),Express,600t,120 km/h,Itarsi Junction,High
251,Vande Bharat Express (12952),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12649),Heavy Freight,6000t,75 km/h,Kanpur Central,High
252,Rajdhani Express (12935),Express,600t,120 km/h,Vande Bharat Express (12907),High_Speed,430t,130 km/h,Kanpur Central,Low
253,Vande Bharat Express (12371),High_Speed,430t,130 km/h,EMU Local (11043),Commuter,300t,80 km/h,Vijayawada Line,Low
254,EMU Local (11707),Commuter,300t,80 km/h,Bhopal Shatabdi (12003),Express,550t,110 km/h,Vijayawada Line,Low
255,Rajdhani Express (11112),Express,600t,120 km/h,Vande Bharat Express (12138),High_Speed,430t,130 km/h,Kanpur Central,High
256,BOXN Coal Rake (12887),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12252),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
257,Vande Bharat Express (12272),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12266),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
258,EMU Local (12781),Commuter,300t,80 km/h,Rajdhani Express (11929),Express,600t,120 km/h,Itarsi Junction,High
259,EMU Local (12491),Commuter,300t,80 km/h,Vande Bharat Express (11677),High_Speed,430t,130 km/h,Itarsi Junction,Low
260,BOXN Coal Rake (11010),Freight,4500t,60 km/h,Rajdhani Express (11652),Express,600t,120 km/h,Itarsi Junction,Low
261,Rajdhani Express (11254),Express,600t,120 km/h,Vande Bharat Express (12204),High_Speed,430t,130 km/h,Vijayawada Line,High
262,Rajdhani Express (12829),Express,600t,120 km/h,Bhopal Shatabdi (12808),Express,550t,110 km/h,Itarsi Junction,Low
263,Bhopal Shatabdi (11206),Express,550t,110 km/h,Rajdhani Express (12356),Express,600t,120 km/h,Kanpur Central,Low
264,BOXN Coal Rake (12906),Freight,4500t,60 km/h,EMU Local (11038),Commuter,300t,80 km/h,Bhusawal Block,Medium
265,Vande Bharat Express (11613),High_Speed,430t,130 km/h,Bhopal Shatabdi (12620),Express,550t,110 km/h,Kanpur Central,Medium
266,Rajdhani Express (12927),Express,600t,120 km/h,Bhopal Shatabdi (11097),Express,550t,110 km/h,Kanpur Central,Medium
267,BOXN Coal Rake (12971),Freight,4500t,60 km/h,Bhopal Shatabdi (12105),Express,550t,110 km/h,Nagpur Crossing,High
268,WAG-12 Heavy Freight (12800),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11829),Express,550t,110 km/h,Nagpur Crossing,Medium
269,EMU Local (12608),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11033),Heavy Freight,6000t,75 km/h,Kanpur Central,High
270,Vande Bharat Express (11260),High_Speed,430t,130 km/h,EMU Local (11002),Commuter,300t,80 km/h,Itarsi Junction,Medium
271,Rajdhani Express (12031),Express,600t,120 km/h,Bhopal Shatabdi (11771),Express,550t,110 km/h,Bhusawal Block,High
272,Vande Bharat Express (12537),High_Speed,430t,130 km/h,Rajdhani Express (11640),Express,600t,120 km/h,Bhusawal Block,High
273,Rajdhani Express (12284),Express,600t,120 km/h,Bhopal Shatabdi (12067),Express,550t,110 km/h,Nagpur Crossing,Medium
274,Bhopal Shatabdi (12002),Express,550t,110 km/h,Vande Bharat Express (11883),High_Speed,430t,130 km/h,Bhusawal Block,High
275,Vande Bharat Express (12102),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11261),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
276,EMU Local (12070),Commuter,300t,80 km/h,BOXN Coal Rake (11883),Freight,4500t,60 km/h,Kanpur Central,High
277,Bhopal Shatabdi (12975),Express,550t,110 km/h,Vande Bharat Express (11401),High_Speed,430t,130 km/h,Nagpur Crossing,Low
278,WAG-12 Heavy Freight (12058),Heavy Freight,6000t,75 km/h,EMU Local (12724),Commuter,300t,80 km/h,Nagpur Crossing,Low
279,Bhopal Shatabdi (11679),Express,550t,110 km/h,WAG-12 Heavy Freight (12845),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
280,WAG-12 Heavy Freight (12280),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11183),High_Speed,430t,130 km/h,Nagpur Crossing,Low
281,EMU Local (11523),Commuter,300t,80 km/h,BOXN Coal Rake (11883),Freight,4500t,60 km/h,Bhusawal Block,Low
282,Vande Bharat Express (11268),High_Speed,430t,130 km/h,EMU Local (12200),Commuter,300t,80 km/h,Bhusawal Block,Low
283,EMU Local (11314),Commuter,300t,80 km/h,Vande Bharat Express (12828),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
284,BOXN Coal Rake (12020),Freight,4500t,60 km/h,EMU Local (12449),Commuter,300t,80 km/h,Bhusawal Block,Medium
285,BOXN Coal Rake (12783),Freight,4500t,60 km/h,EMU Local (12243),Commuter,300t,80 km/h,Nagpur Crossing,Medium
286,BOXN Coal Rake (12836),Freight,4500t,60 km/h,EMU Local (12803),Commuter,300t,80 km/h,Vijayawada Line,High
287,EMU Local (12009),Commuter,300t,80 km/h,BOXN Coal Rake (11547),Freight,4500t,60 km/h,Itarsi Junction,Low
288,Vande Bharat Express (12659),High_Speed,430t,130 km/h,BOXN Coal Rake (11518),Freight,4500t,60 km/h,Itarsi Junction,Low
289,Vande Bharat Express (12867),High_Speed,430t,130 km/h,EMU Local (12884),Commuter,300t,80 km/h,Vijayawada Line,Low
290,Rajdhani Express (11991),Express,600t,120 km/h,BOXN Coal Rake (11355),Freight,4500t,60 km/h,Kanpur Central,Low
291,Vande Bharat Express (12757),High_Speed,430t,130 km/h,Bhopal Shatabdi (11306),Express,550t,110 km/h,Bhusawal Block,Low
292,EMU Local (12108),Commuter,300t,80 km/h,Bhopal Shatabdi (12533),Express,550t,110 km/h,Kanpur Central,Low
293,Rajdhani Express (11350),Express,600t,120 km/h,EMU Local (12226),Commuter,300t,80 km/h,Itarsi Junction,Medium
294,Rajdhani Express (11919),Express,600t,120 km/h,Vande Bharat Express (11244),High_Speed,430t,130 km/h,Kanpur Central,Medium
295,EMU Local (12938),Commuter,300t,80 km/h,Vande Bharat Express (11464),High_Speed,430t,130 km/h,Nagpur Crossing,High
296,BOXN Coal Rake (12561),Freight,4500t,60 km/h,EMU Local (12783),Commuter,300t,80 km/h,Itarsi Junction,Low
297,EMU Local (12714),Commuter,300t,80 km/h,Bhopal Shatabdi (11464),Express,550t,110 km/h,Bhusawal Block,Medium
298,EMU Local (11889),Commuter,300t,80 km/h,BOXN Coal Rake (11900),Freight,4500t,60 km/h,Bhusawal Block,Low
299,WAG-12 Heavy Freight (11538),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11243),Freight,4500t,60 km/h,Nagpur Crossing,Low
300,EMU Local (12491),Commuter,300t,80 km/h,Vande Bharat Express (12719),High_Speed,430t,130 km/h,Vijayawada Line,High
301,Vande Bharat Express (11703),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12025),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
302,Rajdhani Express (12564),Express,600t,120 km/h,BOXN Coal Rake (11838),Freight,4500t,60 km/h,Vijayawada Line,Medium
303,BOXN Coal Rake (11631),Freight,4500t,60 km/h,Rajdhani Express (11975),Express,600t,120 km/h,Itarsi Junction,Medium
304,WAG-12 Heavy Freight (12260),Heavy Freight,6000t,75 km/h,EMU Local (11806),Commuter,300t,80 km/h,Bhusawal Block,High
305,EMU Local (12410),Commuter,300t,80 km/h,Vande Bharat Express (11758),High_Speed,430t,130 km/h,Bhusawal Block,High
306,Rajdhani Express (12133),Express,600t,120 km/h,BOXN Coal Rake (11581),Freight,4500t,60 km/h,Itarsi Junction,High
307,BOXN Coal Rake (12071),Freight,4500t,60 km/h,Bhopal Shatabdi (11502),Express,550t,110 km/h,Bhusawal Block,Low
308,WAG-12 Heavy Freight (12454),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11678),Express,550t,110 km/h,Bhusawal Block,Low
309,Vande Bharat Express (12574),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12880),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
310,WAG-12 Heavy Freight (12737),Heavy Freight,6000t,75 km/h,Rajdhani Express (12756),Express,600t,120 km/h,Bhusawal Block,Medium
311,Bhopal Shatabdi (11619),Express,550t,110 km/h,WAG-12 Heavy Freight (11294),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
312,EMU Local (11259),Commuter,300t,80 km/h,BOXN Coal Rake (11416),Freight,4500t,60 km/h,Nagpur Crossing,High
313,Vande Bharat Express (12297),High_Speed,430t,130 km/h,Rajdhani Express (12681),Express,600t,120 km/h,Nagpur Crossing,Low
314,BOXN Coal Rake (12083),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11955),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
315,Vande Bharat Express (11604),High_Speed,430t,130 km/h,EMU Local (11348),Commuter,300t,80 km/h,Nagpur Crossing,Low
316,Vande Bharat Express (11656),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11345),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
317,WAG-12 Heavy Freight (11304),Heavy Freight,6000t,75 km/h,Rajdhani Express (11023),Express,600t,120 km/h,Nagpur Crossing,Low
318,Rajdhani Express (11979),Express,600t,120 km/h,EMU Local (11920),Commuter,300t,80 km/h,Itarsi Junction,High
319,WAG-12 Heavy Freight (12538),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12021),Express,550t,110 km/h,Nagpur Crossing,Medium
320,BOXN Coal Rake (11399),Freight,4500t,60 km/h,Rajdhani Express (11088),Express,600t,120 km/h,Itarsi Junction,High
321,BOXN Coal Rake (11437),Freight,4500t,60 km/h,EMU Local (11741),Commuter,300t,80 km/h,Nagpur Crossing,Low
322,Bhopal Shatabdi (12028),Express,550t,110 km/h,BOXN Coal Rake (11579),Freight,4500t,60 km/h,Bhusawal Block,High
323,EMU Local (12569),Commuter,300t,80 km/h,Rajdhani Express (12457),Express,600t,120 km/h,Kanpur Central,Medium
324,BOXN Coal Rake (12633),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12103),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
325,Rajdhani Express (11613),Express,600t,120 km/h,BOXN Coal Rake (11452),Freight,4500t,60 km/h,Itarsi Junction,Low
326,BOXN Coal Rake (11349),Freight,4500t,60 km/h,EMU Local (12707),Commuter,300t,80 km/h,Bhusawal Block,Low
327,Bhopal Shatabdi (12842),Express,550t,110 km/h,EMU Local (12403),Commuter,300t,80 km/h,Vijayawada Line,High
328,Bhopal Shatabdi (11743),Express,550t,110 km/h,EMU Local (12996),Commuter,300t,80 km/h,Itarsi Junction,Low
329,BOXN Coal Rake (12854),Freight,4500t,60 km/h,Bhopal Shatabdi (12817),Express,550t,110 km/h,Itarsi Junction,High
330,Vande Bharat Express (12871),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12399),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
331,WAG-12 Heavy Freight (12134),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11292),Freight,4500t,60 km/h,Nagpur Crossing,Medium
332,BOXN Coal Rake (12680),Freight,4500t,60 km/h,Rajdhani Express (12005),Express,600t,120 km/h,Nagpur Crossing,High
333,EMU Local (12764),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12611),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
334,Bhopal Shatabdi (12219),Express,550t,110 km/h,Vande Bharat Express (12134),High_Speed,430t,130 km/h,Itarsi Junction,Medium
335,Bhopal Shatabdi (11455),Express,550t,110 km/h,EMU Local (12854),Commuter,300t,80 km/h,Kanpur Central,Medium
336,Rajdhani Express (12067),Express,600t,120 km/h,Vande Bharat Express (12773),High_Speed,430t,130 km/h,Vijayawada Line,Medium
337,Vande Bharat Express (12608),High_Speed,430t,130 km/h,BOXN Coal Rake (11082),Freight,4500t,60 km/h,Itarsi Junction,Medium
338,Vande Bharat Express (11647),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11039),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
339,Bhopal Shatabdi (11340),Express,550t,110 km/h,Rajdhani Express (11733),Express,600t,120 km/h,Nagpur Crossing,Medium
340,Vande Bharat Express (11244),High_Speed,430t,130 km/h,BOXN Coal Rake (12777),Freight,4500t,60 km/h,Nagpur Crossing,High
341,Vande Bharat Express (12965),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12957),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
342,BOXN Coal Rake (11394),Freight,4500t,60 km/h,Vande Bharat Express (12483),High_Speed,430t,130 km/h,Kanpur Central,Medium
343,BOXN Coal Rake (11193),Freight,4500t,60 km/h,Rajdhani Express (11125),Express,600t,120 km/h,Nagpur Crossing,High
344,Vande Bharat Express (11249),High_Speed,430t,130 km/h,BOXN Coal Rake (12845),Freight,4500t,60 km/h,Itarsi Junction,Low
345,BOXN Coal Rake (12581),Freight,4500t,60 km/h,Rajdhani Express (12047),Express,600t,120 km/h,Bhusawal Block,Low
346,WAG-12 Heavy Freight (12414),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12582),Freight,4500t,60 km/h,Itarsi Junction,High
347,Rajdhani Express (12006),Express,600t,120 km/h,Bhopal Shatabdi (11706),Express,550t,110 km/h,Itarsi Junction,Medium
348,EMU Local (12970),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11663),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
349,BOXN Coal Rake (12925),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12590),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
350,Vande Bharat Express (11700),High_Speed,430t,130 km/h,Rajdhani Express (11835),Express,600t,120 km/h,Vijayawada Line,High
351,Bhopal Shatabdi (12874),Express,550t,110 km/h,WAG-12 Heavy Freight (11755),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
352,BOXN Coal Rake (11464),Freight,4500t,60 km/h,Vande Bharat Express (12070),High_Speed,430t,130 km/h,Kanpur Central,Medium
353,Bhopal Shatabdi (12195),Express,550t,110 km/h,Rajdhani Express (12216),Express,600t,120 km/h,Kanpur Central,High
354,Bhopal Shatabdi (12668),Express,550t,110 km/h,EMU Local (12761),Commuter,300t,80 km/h,Nagpur Crossing,Low
355,Rajdhani Express (12390),Express,600t,120 km/h,WAG-12 Heavy Freight (12631),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
356,Vande Bharat Express (11538),High_Speed,430t,130 km/h,BOXN Coal Rake (12034),Freight,4500t,60 km/h,Bhusawal Block,Low
357,Rajdhani Express (12417),Express,600t,120 km/h,Bhopal Shatabdi (12960),Express,550t,110 km/h,Nagpur Crossing,Low
358,Rajdhani Express (11824),Express,600t,120 km/h,EMU Local (11841),Commuter,300t,80 km/h,Vijayawada Line,Low
359,Bhopal Shatabdi (12495),Express,550t,110 km/h,WAG-12 Heavy Freight (12361),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
360,Rajdhani Express (12463),Express,600t,120 km/h,Bhopal Shatabdi (12093),Express,550t,110 km/h,Vijayawada Line,Low
361,Rajdhani Express (11652),Express,600t,120 km/h,Bhopal Shatabdi (11036),Express,550t,110 km/h,Vijayawada Line,High
362,WAG-12 Heavy Freight (11313),Heavy Freight,6000t,75 km/h,Rajdhani Express (12965),Express,600t,120 km/h,Nagpur Crossing,High
363,Vande Bharat Express (12458),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11397),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
364,Vande Bharat Express (12807),High_Speed,430t,130 km/h,Rajdhani Express (12510),Express,600t,120 km/h,Bhusawal Block,High
365,EMU Local (11499),Commuter,300t,80 km/h,Rajdhani Express (12005),Express,600t,120 km/h,Bhusawal Block,Medium
366,BOXN Coal Rake (12789),Freight,4500t,60 km/h,EMU Local (12609),Commuter,300t,80 km/h,Itarsi Junction,Medium
367,EMU Local (11530),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12032),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
368,BOXN Coal Rake (12371),Freight,4500t,60 km/h,Vande Bharat Express (11343),High_Speed,430t,130 km/h,Bhusawal Block,High
369,EMU Local (11534),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11002),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
370,EMU Local (11659),Commuter,300t,80 km/h,BOXN Coal Rake (12484),Freight,4500t,60 km/h,Vijayawada Line,Low
371,EMU Local (11140),Commuter,300t,80 km/h,Rajdhani Express (11812),Express,600t,120 km/h,Bhusawal Block,Low
372,EMU Local (12897),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11735),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
373,WAG-12 Heavy Freight (12297),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11352),High_Speed,430t,130 km/h,Nagpur Crossing,High
374,Bhopal Shatabdi (11220),Express,550t,110 km/h,BOXN Coal Rake (11647),Freight,4500t,60 km/h,Nagpur Crossing,Medium
375,WAG-12 Heavy Freight (12749),Heavy Freight,6000t,75 km/h,Rajdhani Express (11868),Express,600t,120 km/h,Nagpur Crossing,Medium
376,EMU Local (11211),Commuter,300t,80 km/h,Bhopal Shatabdi (11508),Express,550t,110 km/h,Bhusawal Block,High
377,Bhopal Shatabdi (12543),Express,550t,110 km/h,WAG-12 Heavy Freight (11279),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
378,Bhopal Shatabdi (12142),Express,550t,110 km/h,Vande Bharat Express (12914),High_Speed,430t,130 km/h,Itarsi Junction,Low
379,Bhopal Shatabdi (11996),Express,550t,110 km/h,WAG-12 Heavy Freight (12315),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
380,BOXN Coal Rake (12368),Freight,4500t,60 km/h,Bhopal Shatabdi (12393),Express,550t,110 km/h,Itarsi Junction,Low
381,WAG-12 Heavy Freight (11028),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11988),Freight,4500t,60 km/h,Bhusawal Block,High
382,Bhopal Shatabdi (11276),Express,550t,110 km/h,WAG-12 Heavy Freight (11948),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
383,EMU Local (11399),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11931),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
384,Vande Bharat Express (11250),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12052),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
385,Bhopal Shatabdi (12393),Express,550t,110 km/h,WAG-12 Heavy Freight (12857),Heavy Freight,6000t,75 km/h,Bhusawal Block,High
386,Rajdhani Express (12191),Express,600t,120 km/h,EMU Local (12023),Commuter,300t,80 km/h,Kanpur Central,Low
387,Vande Bharat Express (12883),High_Speed,430t,130 km/h,Rajdhani Express (11196),Express,600t,120 km/h,Itarsi Junction,High
388,Vande Bharat Express (12514),High_Speed,430t,130 km/h,BOXN Coal Rake (11283),Freight,4500t,60 km/h,Vijayawada Line,Low
389,EMU Local (11122),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12487),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
390,WAG-12 Heavy Freight (11314),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11952),Freight,4500t,60 km/h,Kanpur Central,Medium
391,BOXN Coal Rake (11592),Freight,4500t,60 km/h,Vande Bharat Express (11339),High_Speed,430t,130 km/h,Bhusawal Block,Medium
392,BOXN Coal Rake (12193),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11064),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
393,EMU Local (11409),Commuter,300t,80 km/h,Bhopal Shatabdi (12395),Express,550t,110 km/h,Kanpur Central,High
394,Vande Bharat Express (12856),High_Speed,430t,130 km/h,Rajdhani Express (12640),Express,600t,120 km/h,Kanpur Central,Medium
395,EMU Local (11436),Commuter,300t,80 km/h,Bhopal Shatabdi (12693),Express,550t,110 km/h,Bhusawal Block,Low
396,EMU Local (12878),Commuter,300t,80 km/h,Rajdhani Express (12218),Express,600t,120 km/h,Nagpur Crossing,High
397,EMU Local (12111),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12049),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
398,Rajdhani Express (11971),Express,600t,120 km/h,EMU Local (11913),Commuter,300t,80 km/h,Bhusawal Block,Medium
399,WAG-12 Heavy Freight (12326),Heavy Freight,6000t,75 km/h,Rajdhani Express (12327),Express,600t,120 km/h,Kanpur Central,Low
400,EMU Local (12617),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11531),Heavy Freight,6000t,75 km/h,Kanpur Central,Low
401,EMU Local (11169),Commuter,300t,80 km/h,Vande Bharat Express (12234),High_Speed,430t,130 km/h,Nagpur Crossing,Low
402,Rajdhani Express (11462),Express,600t,120 km/h,Bhopal Shatabdi (12186),Express,550t,110 km/h,Kanpur Central,Medium
403,WAG-12 Heavy Freight (12042),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11317),Express,550t,110 km/h,Itarsi Junction,High
